"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"03-08-2023 06:02:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0208.795";"52565"
"03-08-2023 06:02:12";"";"Treasury";"Получение выписки прошлого дня, получение с FTP";"/BANK";"K:\B_in_out\";"725#0208.795";"52565"
"03-08-2023 07:58:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-30a2b27d-3e8a-45f6-9e63-001025448e4c.tar";"20480"
"03-08-2023 08:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637429.700";"77969"
"03-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637431.700";"21836"
"03-08-2023 08:02:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637432.700";"23826"
"03-08-2023 08:34:11";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMH.722";"22607"
"03-08-2023 08:36:23";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYA.722";"4998"
"03-08-2023 08:38:12";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"390000BE4.722";"6954"
"03-08-2023 09:00:21";"700016074";"ИМНС";"Принят из ИМНС, получение с FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"700016074-722-e3a712dc-2ce6-40ff-8bc6-a2fee40a75b5.tar";"10240"
"03-08-2023 09:04:19";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-541392e0-39bb-48ff-98a6-74f74721570f.tar";"10240"
"03-08-2023 10:24:22";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYB.722";"6157"
"03-08-2023 10:52:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0308.795";"12533"
